,user_id,username,following,followers
199,199,Dreuze29,199,290
200,200,PhMarliere,128,24481
201,201,DehorsEMacron,1265,919
202,202,jomodemo,936,850
203,203,saxxum,1023,375
204,204,dessouvre,482,353
205,205,freddez,88,43
206,206,_MinaaM,420,1564
207,207,skynetpirate,48,80
208,208,Zied9404,60,12
209,209,Itisurqueen,527,2949
210,210,_Noukimi,220,652
211,211,hmichals_42,430,646
212,212,LaRocheIsBack,593,172
213,213,sKateMacKey,370,137
214,214,JusticeSilences,43,6
215,215,scfa__,294,187
216,216,david43HL,509,357
217,217,FrVision,470,1286
218,218,iDipl0,66,732
219,219,jpmartakech,3787,1634
220,220,LaurentM54,1634,1442
221,221,Kevaogobbi,396,95
222,222,ortaram,1320,1132
223,223,imrane179,997,1212
224,224,PrenomN00351252,693,33
225,225,machiso9kk,290,126
226,226,mlkc93,31,30
227,227,aligiveafuck,51,31
228,228,achabus,3347,13147
229,229,GaelPy,249,57
230,230,klingerlydie,1460,2616
231,231,jordan_giotto,497,1796
232,232,Malkovitz1,510,52
233,233,Osara______,598,691
234,234,SterennPhilippe,4675,1112
235,235,camiiille02300,180,182
236,236,GensBel,33,15
237,237,klfnirooooo,54,41
238,238,GaullisteXXI,3900,2769
239,239,PATHACHON,166,40
240,240,BVRalexandre,43,638
241,241,Raph_Jean,169,105
242,242,Emmanuel_Kacou,1835,17579
243,243,JosephKMayer,3411,1074
244,244,ULRICH_VIANNEY1,81,165
245,245,BooGreen80,283,864
246,246,jeagililil,203,142
247,247,Moor_Add,368,19
248,248,casimazet,699,302
249,249,philblet,1643,1249
250,250,GaullisteXXI,3900,2770
251,251,v2_kss,219,501
252,252,LolaLfg,27,25
253,253,Lbovic24,472,715
254,254,tahinrzf,3054,5780
255,255,ZihaireIn,154,203
256,256,trucmuche88,329,298
257,257,BVRalexandre,43,638
258,258,LamineOGueye,3488,4466
259,259,iammogliii,245,234
260,260,solene_gdn,266,690
261,261,LaurentVerdi,761,656
262,262,ToledeLouis,2924,1533
263,263,Bwon_c,68,113
264,264,lailsb1,2021,57
265,265,212mvghribiaa,1433,747
266,266,Zadouuuu,145,95
267,267,ArabNewsfr,76,41013
268,268,chkaki,197,310
269,269,starryvibes,867,2230
270,270,bvi38,218,68
271,271,PassagePietion,511,35
272,272,lakraz22,425,26
273,273,mamaroushka,1002,941
274,274,JMsurtwitt,1186,1188
275,275,louiise69_,1389,2199
276,276,ClementLgd_,145,84
277,277,unmacroniste,1898,752
278,278,Jane_Doe764,54,151
279,279,Als0cK_,518,12
280,280,Mahavel9,184,105
281,281,dontshutmeuppls,365,81
282,282,IziiPanamCiity,333,473
283,283,minaeminu,96,95
284,284,tjnvmn,80,78
285,285,LeCorrecteurX,142,19
286,286,fredsooni,253,31
287,287,LeOums,493,1039
288,288,Mediavenir,4,1785979
289,289,7b73f39b85e1415,398,593
290,290,Rita_ali__,66,16
291,291,Traineur2,4993,2182
292,292,MichelTaube,4527,2179
293,293,KilianTbt,45,1
294,294,wo0_dy,45,9
295,295,Caemorys,3067,84
296,296,AleexLnD,117,403
297,297,mellexxya,751,375
298,298,Jtm_Clover,385,31
299,299,douvilnovic,450,1023
300,300,AlainFrNews,8,92144
301,301,Sasa974Cvid,151,208
302,302,rodho_g,1838,2798
303,303,Reekedson_TR,898,1651
304,304,Yves34140,1867,964
305,305,Emeline210930,78,11
306,306,Fabi32972964,285,112
307,307,hghtintheroom,898,237
308,308,bwb_candy,428,505
309,309,FathiaBouhouche,77,12
310,310,_PEtienne_,263,176
311,311,famesnews,217,21
312,312,valiance45,98,16
313,313,Osara______,598,691
314,314,happypotatoe_ii,261,19
315,315,Mediavenir_rel,4,20
316,316,juliettelucie,1367,1689
317,317,FYangane,85,59
318,318,Reekedson_TR,898,1650
319,319,E_Ferrand_03,1125,4005
320,320,eustache_luigy,1507,605
321,321,zersinan1,1066,319
322,322,xXxAgnEbeR,105,311
323,323,AleixoCarvalho2,1410,1926
324,324,CedricLng,258,673
325,325,hoplinfo,12,1214
326,326,megabigsam,2226,478
327,327,LettreBrest,2078,1701
328,328,cresus1ier,2435,3904
329,329,gguksju,288,373
330,330,olivdeso,18,3
331,331,Wistiti84470505,2010,2441
332,332,FabEyes,1450,283
333,333,MickaelStark22,346,257
334,334,Enzo_drbc,225,37
335,335,Jo_Le_Faransavi,428,556
